,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix
195,linear,100.0,,,150,0.5,"[46, 16, 7, 27]"
196,linear,100.0,,,150,0.75,"[46, 16, 7, 27]"
197,linear,100.0,,,150,1.0,"[45, 17, 5, 29]"
198,rbf,100.0,1,,50,0.5,"[45, 17, 6, 28]"
199,rbf,100.0,1,,50,0.75,"[45, 17, 6, 28]"
200,rbf,100.0,1,,50,1.0,"[45, 17, 6, 28]"
201,rbf,100.0,1,,100,0.5,"[45, 17, 6, 28]"
202,rbf,100.0,1,,100,0.75,"[45, 17, 6, 28]"
203,rbf,100.0,1,,100,1.0,"[45, 17, 6, 28]"
204,rbf,100.0,1,,150,0.5,"[45, 17, 6, 28]"
205,rbf,100.0,1,,150,0.75,"[45, 17, 6, 28]"
206,rbf,100.0,1,,150,1.0,"[45, 17, 6, 28]"
207,poly,100.0,1,2,50,0.5,"[45, 17, 6, 28]"
208,poly,100.0,1,2,50,0.75,"[45, 17, 5, 29]"
209,poly,100.0,1,2,50,1.0,"[45, 17, 6, 28]"
210,poly,100.0,1,2,100,0.5,"[45, 17, 6, 28]"
211,poly,100.0,1,2,100,0.75,"[45, 17, 5, 29]"
212,poly,100.0,1,2,100,1.0,"[45, 17, 6, 28]"
213,poly,100.0,1,2,150,0.5,"[45, 17, 6, 28]"
214,poly,100.0,1,2,150,0.75,"[45, 17, 5, 29]"
215,poly,100.0,1,2,150,1.0,"[45, 17, 6, 28]"
216,poly,100.0,1,3,50,0.5,"[45, 17, 6, 28]"
217,poly,100.0,1,3,50,0.75,"[45, 17, 6, 28]"
218,poly,100.0,1,3,50,1.0,"[45, 17, 6, 28]"
219,poly,100.0,1,3,100,0.5,"[45, 17, 6, 28]"
220,poly,100.0,1,3,100,0.75,"[45, 17, 6, 28]"
221,poly,100.0,1,3,100,1.0,"[45, 17, 5, 29]"
222,poly,100.0,1,3,150,0.5,"[45, 17, 6, 28]"
223,poly,100.0,1,3,150,0.75,"[45, 17, 6, 28]"
224,poly,100.0,1,3,150,1.0,"[45, 17, 5, 29]"
225,rbf,100.0,10.0,,50,0.5,"[45, 17, 7, 27]"
226,rbf,100.0,10.0,,50,0.75,"[45, 17, 7, 27]"
227,rbf,100.0,10.0,,50,1.0,"[45, 17, 6, 28]"
228,rbf,100.0,10.0,,100,0.5,"[45, 17, 7, 27]"
229,rbf,100.0,10.0,,100,0.75,"[45, 17, 7, 27]"
230,rbf,100.0,10.0,,100,1.0,"[45, 17, 6, 28]"
231,rbf,100.0,10.0,,150,0.5,"[45, 17, 7, 27]"
232,rbf,100.0,10.0,,150,0.75,"[45, 17, 7, 27]"
233,rbf,100.0,10.0,,150,1.0,"[45, 17, 6, 28]"
234,poly,100.0,10.0,2,50,0.5,"[43, 19, 6, 28]"
235,poly,100.0,10.0,2,50,0.75,"[43, 19, 6, 28]"
236,poly,100.0,10.0,2,50,1.0,"[43, 19, 5, 29]"
237,poly,100.0,10.0,2,100,0.5,"[43, 19, 6, 28]"
238,poly,100.0,10.0,2,100,0.75,"[43, 19, 6, 28]"
239,poly,100.0,10.0,2,100,1.0,"[43, 19, 5, 29]"
240,poly,100.0,10.0,2,150,0.5,"[43, 19, 6, 28]"
241,poly,100.0,10.0,2,150,0.75,"[43, 19, 6, 28]"
242,poly,100.0,10.0,2,150,1.0,"[43, 19, 5, 29]"
243,poly,100.0,10.0,3,50,0.5,"[43, 19, 5, 29]"
244,poly,100.0,10.0,3,50,0.75,"[43, 19, 6, 28]"
245,poly,100.0,10.0,3,50,1.0,"[43, 19, 5, 29]"
246,poly,100.0,10.0,3,100,0.5,"[43, 19, 6, 28]"
247,poly,100.0,10.0,3,100,0.75,"[43, 19, 5, 29]"
248,poly,100.0,10.0,3,100,1.0,"[43, 19, 5, 29]"
249,poly,100.0,10.0,3,150,0.5,"[43, 19, 6, 28]"
250,poly,100.0,10.0,3,150,0.75,"[43, 19, 5, 29]"
251,poly,100.0,10.0,3,150,1.0,"[43, 19, 5, 29]"
252,linear,1000.0,,,50,0.5,"[45, 17, 6, 28]"
253,linear,1000.0,,,50,0.75,"[46, 16, 7, 27]"
254,linear,1000.0,,,50,1.0,"[45, 17, 5, 29]"
255,linear,1000.0,,,100,0.5,"[45, 17, 6, 28]"
256,linear,1000.0,,,100,0.75,"[46, 16, 7, 27]"
257,linear,1000.0,,,100,1.0,"[45, 17, 5, 29]"
258,linear,1000.0,,,150,0.5,"[45, 17, 6, 28]"
259,linear,1000.0,,,150,0.75,"[46, 16, 7, 27]"
260,linear,1000.0,,,150,1.0,"[45, 17, 5, 29]"
261,rbf,1000.0,1,,50,0.5,"[43, 19, 6, 28]"
262,rbf,1000.0,1,,50,0.75,"[43, 19, 6, 28]"
263,rbf,1000.0,1,,50,1.0,"[43, 19, 6, 28]"
264,rbf,1000.0,1,,100,0.5,"[43, 19, 6, 28]"
265,rbf,1000.0,1,,100,0.75,"[43, 19, 6, 28]"
266,rbf,1000.0,1,,100,1.0,"[43, 19, 6, 28]"
267,rbf,1000.0,1,,150,0.5,"[43, 19, 6, 28]"
268,rbf,1000.0,1,,150,0.75,"[43, 19, 6, 28]"
269,rbf,1000.0,1,,150,1.0,"[43, 19, 6, 28]"
