,Kernel,C,Gamma,Degree,Estimators,Learning Rate,Confusion Matrix
180,poly,10.0,10.0,3,50,0.5,"[42, 19, 16, 19]"
181,poly,10.0,10.0,3,50,0.75,"[43, 18, 20, 15]"
182,poly,10.0,10.0,3,50,1.0,"[45, 16, 20, 15]"
183,poly,10.0,10.0,3,100,0.5,"[42, 19, 16, 19]"
184,poly,10.0,10.0,3,100,0.75,"[43, 18, 20, 15]"
185,poly,10.0,10.0,3,100,1.0,"[45, 16, 20, 15]"
186,poly,10.0,10.0,3,150,0.5,"[42, 19, 16, 19]"
187,poly,10.0,10.0,3,150,0.75,"[43, 18, 20, 15]"
188,poly,10.0,10.0,3,150,1.0,"[45, 16, 20, 15]"
189,linear,100.0,,,50,0.5,"[55, 6, 27, 8]"
190,linear,100.0,,,50,0.75,"[56, 5, 28, 7]"
191,linear,100.0,,,50,1.0,"[57, 4, 28, 7]"
192,linear,100.0,,,100,0.5,"[55, 6, 27, 8]"
193,linear,100.0,,,100,0.75,"[56, 5, 28, 7]"
194,linear,100.0,,,100,1.0,"[57, 4, 28, 7]"
195,linear,100.0,,,150,0.5,"[55, 6, 27, 8]"
196,linear,100.0,,,150,0.75,"[56, 5, 28, 7]"
197,linear,100.0,,,150,1.0,"[57, 4, 28, 7]"
198,rbf,100.0,1,,50,0.5,"[59, 2, 32, 3]"
199,rbf,100.0,1,,50,0.75,"[56, 5, 32, 3]"
200,rbf,100.0,1,,50,1.0,"[42, 19, 15, 20]"
201,rbf,100.0,1,,100,0.5,"[59, 2, 32, 3]"
202,rbf,100.0,1,,100,0.75,"[56, 5, 32, 3]"
203,rbf,100.0,1,,100,1.0,"[42, 19, 15, 20]"
204,rbf,100.0,1,,150,0.5,"[59, 2, 32, 3]"
205,rbf,100.0,1,,150,0.75,"[56, 5, 32, 3]"
206,rbf,100.0,1,,150,1.0,"[42, 19, 15, 20]"
207,poly,100.0,1,2,50,0.5,"[52, 9, 24, 11]"
208,poly,100.0,1,2,50,0.75,"[49, 12, 22, 13]"
209,poly,100.0,1,2,50,1.0,"[49, 12, 22, 13]"
210,poly,100.0,1,2,100,0.5,"[52, 9, 24, 11]"
211,poly,100.0,1,2,100,0.75,"[49, 12, 22, 13]"
212,poly,100.0,1,2,100,1.0,"[49, 12, 22, 13]"
213,poly,100.0,1,2,150,0.5,"[52, 9, 24, 11]"
214,poly,100.0,1,2,150,0.75,"[49, 12, 22, 13]"
215,poly,100.0,1,2,150,1.0,"[49, 12, 22, 13]"
216,poly,100.0,1,3,50,0.5,"[50, 11, 21, 14]"
217,poly,100.0,1,3,50,0.75,"[49, 12, 21, 14]"
218,poly,100.0,1,3,50,1.0,"[48, 13, 21, 14]"
219,poly,100.0,1,3,100,0.5,"[52, 9, 22, 13]"
220,poly,100.0,1,3,100,0.75,"[49, 12, 21, 14]"
221,poly,100.0,1,3,100,1.0,"[48, 13, 21, 14]"
222,poly,100.0,1,3,150,0.5,"[52, 9, 22, 13]"
223,poly,100.0,1,3,150,0.75,"[49, 12, 21, 14]"
224,poly,100.0,1,3,150,1.0,"[48, 13, 21, 14]"
225,rbf,100.0,10.0,,50,0.5,"[57, 4, 33, 2]"
226,rbf,100.0,10.0,,50,0.75,"[50, 11, 25, 10]"
227,rbf,100.0,10.0,,50,1.0,"[27, 34, 8, 27]"
228,rbf,100.0,10.0,,100,0.5,"[57, 4, 33, 2]"
229,rbf,100.0,10.0,,100,0.75,"[50, 11, 25, 10]"
230,rbf,100.0,10.0,,100,1.0,"[27, 34, 8, 27]"
231,rbf,100.0,10.0,,150,0.5,"[57, 4, 33, 2]"
232,rbf,100.0,10.0,,150,0.75,"[50, 11, 25, 10]"
233,rbf,100.0,10.0,,150,1.0,"[27, 34, 8, 27]"
234,poly,100.0,10.0,2,50,0.5,"[45, 16, 22, 13]"
235,poly,100.0,10.0,2,50,0.75,"[46, 15, 24, 11]"
236,poly,100.0,10.0,2,50,1.0,"[46, 15, 21, 14]"
237,poly,100.0,10.0,2,100,0.5,"[45, 16, 22, 13]"
238,poly,100.0,10.0,2,100,0.75,"[46, 15, 24, 11]"
239,poly,100.0,10.0,2,100,1.0,"[46, 15, 21, 14]"
240,poly,100.0,10.0,2,150,0.5,"[45, 16, 22, 13]"
241,poly,100.0,10.0,2,150,0.75,"[46, 15, 24, 11]"
242,poly,100.0,10.0,2,150,1.0,"[46, 15, 21, 14]"
243,poly,100.0,10.0,3,50,0.5,"[45, 16, 16, 19]"
244,poly,100.0,10.0,3,50,0.75,"[44, 17, 18, 17]"
245,poly,100.0,10.0,3,50,1.0,"[51, 10, 19, 16]"
246,poly,100.0,10.0,3,100,0.5,"[45, 16, 16, 19]"
247,poly,100.0,10.0,3,100,0.75,"[44, 17, 18, 17]"
248,poly,100.0,10.0,3,100,1.0,"[51, 10, 19, 16]"
249,poly,100.0,10.0,3,150,0.5,"[45, 16, 16, 19]"
250,poly,100.0,10.0,3,150,0.75,"[44, 17, 18, 17]"
251,poly,100.0,10.0,3,150,1.0,"[51, 10, 19, 16]"
252,linear,1000.0,,,50,0.5,"[54, 7, 24, 11]"
253,linear,1000.0,,,50,0.75,"[55, 6, 26, 9]"
254,linear,1000.0,,,50,1.0,"[55, 6, 26, 9]"
255,linear,1000.0,,,100,0.5,"[54, 7, 24, 11]"
256,linear,1000.0,,,100,0.75,"[55, 6, 26, 9]"
257,linear,1000.0,,,100,1.0,"[55, 6, 26, 9]"
258,linear,1000.0,,,150,0.5,"[54, 7, 24, 11]"
259,linear,1000.0,,,150,0.75,"[55, 6, 26, 9]"
260,linear,1000.0,,,150,1.0,"[55, 6, 26, 9]"
261,rbf,1000.0,1,,50,0.5,"[46, 15, 22, 13]"
262,rbf,1000.0,1,,50,0.75,"[44, 17, 20, 15]"
263,rbf,1000.0,1,,50,1.0,"[47, 14, 22, 13]"
264,rbf,1000.0,1,,100,0.5,"[45, 16, 21, 14]"
265,rbf,1000.0,1,,100,0.75,"[46, 15, 22, 13]"
266,rbf,1000.0,1,,100,1.0,"[47, 14, 23, 12]"
267,rbf,1000.0,1,,150,0.5,"[45, 16, 21, 14]"
268,rbf,1000.0,1,,150,0.75,"[46, 15, 22, 13]"
269,rbf,1000.0,1,,150,1.0,"[47, 14, 23, 12]"
270,poly,1000.0,1,2,50,0.5,"[47, 14, 20, 15]"
271,poly,1000.0,1,2,50,0.75,"[48, 13, 22, 13]"
272,poly,1000.0,1,2,50,1.0,"[48, 13, 25, 10]"
273,poly,1000.0,1,2,100,0.5,"[47, 14, 20, 15]"
274,poly,1000.0,1,2,100,0.75,"[48, 13, 22, 13]"
275,poly,1000.0,1,2,100,1.0,"[48, 13, 25, 10]"
276,poly,1000.0,1,2,150,0.5,"[47, 14, 20, 15]"
277,poly,1000.0,1,2,150,0.75,"[48, 13, 22, 13]"
278,poly,1000.0,1,2,150,1.0,"[48, 13, 25, 10]"
279,poly,1000.0,1,3,50,0.5,"[49, 12, 21, 14]"
280,poly,1000.0,1,3,50,0.75,"[49, 12, 19, 16]"
281,poly,1000.0,1,3,50,1.0,"[47, 14, 20, 15]"
282,poly,1000.0,1,3,100,0.5,"[49, 12, 21, 14]"
283,poly,1000.0,1,3,100,0.75,"[49, 12, 19, 16]"
284,poly,1000.0,1,3,100,1.0,"[48, 13, 20, 15]"
285,poly,1000.0,1,3,150,0.5,"[52, 9, 22, 13]"
286,poly,1000.0,1,3,150,0.75,"[49, 12, 19, 16]"
287,poly,1000.0,1,3,150,1.0,"[48, 13, 20, 15]"
288,rbf,1000.0,10.0,,50,0.5,"[51, 10, 24, 11]"
289,rbf,1000.0,10.0,,50,0.75,"[52, 9, 27, 8]"
290,rbf,1000.0,10.0,,50,1.0,"[52, 9, 22, 13]"
291,rbf,1000.0,10.0,,100,0.5,"[52, 9, 25, 10]"
292,rbf,1000.0,10.0,,100,0.75,"[52, 9, 27, 8]"
293,rbf,1000.0,10.0,,100,1.0,"[52, 9, 22, 13]"
294,rbf,1000.0,10.0,,150,0.5,"[52, 9, 25, 10]"
295,rbf,1000.0,10.0,,150,0.75,"[52, 9, 25, 10]"
296,rbf,1000.0,10.0,,150,1.0,"[52, 9, 22, 13]"
297,poly,1000.0,10.0,2,50,0.5,"[47, 14, 27, 8]"
298,poly,1000.0,10.0,2,50,0.75,"[39, 22, 26, 9]"
299,poly,1000.0,10.0,2,50,1.0,"[41, 20, 21, 14]"
300,poly,1000.0,10.0,2,100,0.5,"[47, 14, 27, 8]"
301,poly,1000.0,10.0,2,100,0.75,"[39, 22, 26, 9]"
302,poly,1000.0,10.0,2,100,1.0,"[41, 20, 21, 14]"
303,poly,1000.0,10.0,2,150,0.5,"[47, 14, 27, 8]"
304,poly,1000.0,10.0,2,150,0.75,"[39, 22, 26, 9]"
305,poly,1000.0,10.0,2,150,1.0,"[41, 20, 21, 14]"
306,poly,1000.0,10.0,3,50,0.5,"[49, 12, 17, 18]"
307,poly,1000.0,10.0,3,50,0.75,"[46, 15, 16, 19]"
308,poly,1000.0,10.0,3,50,1.0,"[46, 15, 21, 14]"
309,poly,1000.0,10.0,3,100,0.5,"[49, 12, 17, 18]"
310,poly,1000.0,10.0,3,100,0.75,"[46, 15, 16, 19]"
311,poly,1000.0,10.0,3,100,1.0,"[46, 15, 21, 14]"
312,poly,1000.0,10.0,3,150,0.5,"[49, 12, 17, 18]"
313,poly,1000.0,10.0,3,150,0.75,"[46, 15, 16, 19]"
314,poly,1000.0,10.0,3,150,1.0,"[46, 15, 21, 14]"
