,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
45,rbf,10.0,1.0,,50,"[49, 13, 9, 25]","[49, 12, 11, 24]","[51, 10, 9, 26]","[50, 11, 15, 20]","[49, 12, 7, 27]","[45, 16, 7, 27]","[44, 17, 8, 26]","[43, 18, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
46,rbf,10.0,1.0,,100,"[49, 13, 9, 25]","[49, 12, 11, 24]","[51, 10, 9, 26]","[50, 11, 15, 20]","[46, 15, 7, 27]","[45, 16, 7, 27]","[45, 16, 8, 26]","[42, 19, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
47,rbf,10.0,1.0,,150,"[49, 13, 9, 25]","[49, 12, 11, 24]","[51, 10, 9, 26]","[50, 11, 15, 20]","[49, 12, 7, 27]","[45, 16, 7, 27]","[44, 17, 8, 26]","[42, 19, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
48,poly,10.0,1.0,2.0,50,"[47, 15, 8, 26]","[48, 13, 11, 24]","[52, 9, 7, 28]","[50, 11, 17, 18]","[49, 12, 7, 27]","[42, 19, 7, 27]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[42, 19, 8, 26]"
49,poly,10.0,1.0,2.0,100,"[47, 15, 8, 26]","[47, 14, 11, 24]","[50, 11, 7, 28]","[49, 12, 17, 18]","[49, 12, 7, 27]","[42, 19, 7, 27]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[42, 19, 8, 26]"
50,poly,10.0,1.0,2.0,150,"[47, 15, 8, 26]","[47, 14, 11, 24]","[50, 11, 7, 28]","[49, 12, 17, 18]","[49, 12, 7, 27]","[43, 18, 7, 27]","[48, 13, 8, 26]","[44, 17, 9, 25]","[47, 14, 14, 20]","[42, 19, 8, 26]"
51,poly,10.0,1.0,3.0,50,"[48, 14, 9, 25]","[47, 14, 11, 24]","[48, 13, 9, 26]","[47, 14, 15, 20]","[47, 14, 7, 27]","[41, 20, 7, 27]","[44, 17, 7, 27]","[42, 19, 9, 25]","[46, 15, 12, 22]","[44, 17, 11, 23]"
52,poly,10.0,1.0,3.0,100,"[48, 14, 9, 25]","[47, 14, 11, 24]","[48, 13, 9, 26]","[46, 15, 15, 20]","[47, 14, 7, 27]","[41, 20, 7, 27]","[44, 17, 8, 26]","[41, 20, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
53,poly,10.0,1.0,3.0,150,"[48, 14, 9, 25]","[47, 14, 10, 25]","[48, 13, 9, 26]","[47, 14, 15, 20]","[47, 14, 7, 27]","[41, 20, 7, 27]","[44, 17, 8, 26]","[41, 20, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
54,rbf,10.0,10.0,,50,"[49, 13, 9, 25]","[50, 11, 12, 23]","[51, 10, 9, 26]","[53, 8, 19, 16]","[49, 12, 7, 27]","[45, 16, 7, 27]","[45, 16, 8, 26]","[44, 17, 10, 24]","[47, 14, 13, 21]","[44, 17, 12, 22]"
55,rbf,10.0,10.0,,100,"[49, 13, 9, 25]","[50, 11, 11, 24]","[51, 10, 9, 26]","[53, 8, 19, 16]","[49, 12, 7, 27]","[45, 16, 7, 27]","[45, 16, 8, 26]","[43, 18, 10, 24]","[47, 14, 13, 21]","[43, 18, 8, 26]"
56,rbf,10.0,10.0,,150,"[49, 13, 9, 25]","[50, 11, 11, 24]","[51, 10, 9, 26]","[53, 8, 19, 16]","[49, 12, 7, 27]","[45, 16, 7, 27]","[45, 16, 8, 26]","[43, 18, 10, 24]","[47, 14, 13, 21]","[43, 18, 8, 26]"
57,poly,10.0,10.0,2.0,50,"[48, 14, 10, 24]","[44, 17, 10, 25]","[51, 10, 8, 27]","[50, 11, 12, 23]","[45, 16, 6, 28]","[43, 18, 7, 27]","[47, 14, 8, 26]","[42, 19, 9, 25]","[44, 17, 11, 23]","[42, 19, 7, 27]"
58,poly,10.0,10.0,2.0,100,"[47, 15, 10, 24]","[44, 17, 10, 25]","[51, 10, 7, 28]","[50, 11, 14, 21]","[45, 16, 6, 28]","[43, 18, 7, 27]","[47, 14, 8, 26]","[41, 20, 9, 25]","[44, 17, 11, 23]","[40, 21, 6, 28]"
59,poly,10.0,10.0,2.0,150,"[47, 15, 8, 26]","[46, 15, 10, 25]","[51, 10, 7, 28]","[50, 11, 13, 22]","[45, 16, 6, 28]","[44, 17, 7, 27]","[47, 14, 8, 26]","[43, 18, 9, 25]","[44, 17, 11, 23]","[40, 21, 6, 28]"
60,poly,10.0,10.0,3.0,50,"[47, 15, 11, 23]","[47, 14, 9, 26]","[48, 13, 9, 26]","[46, 15, 15, 20]","[47, 14, 7, 27]","[41, 20, 7, 27]","[44, 17, 7, 27]","[42, 19, 9, 25]","[46, 15, 12, 22]","[44, 17, 11, 23]"
61,poly,10.0,10.0,3.0,100,"[47, 15, 9, 25]","[47, 14, 10, 25]","[48, 13, 9, 26]","[46, 15, 15, 20]","[44, 17, 7, 27]","[41, 20, 7, 27]","[44, 17, 8, 26]","[41, 20, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
62,poly,10.0,10.0,3.0,150,"[47, 15, 9, 25]","[47, 14, 9, 26]","[48, 13, 9, 26]","[47, 14, 15, 20]","[47, 14, 7, 27]","[41, 20, 7, 27]","[43, 18, 8, 26]","[41, 20, 9, 25]","[46, 15, 12, 22]","[43, 18, 8, 26]"
63,linear,100.0,,,50,"[48, 14, 9, 25]","[45, 16, 10, 25]","[54, 7, 8, 27]","[49, 12, 12, 23]","[50, 11, 6, 28]","[43, 18, 8, 26]","[47, 14, 9, 25]","[43, 18, 8, 26]","[46, 15, 12, 22]","[41, 20, 8, 26]"
